equipment_id,vibration_mm_s,temperature_c,oil_pressure_bar,sound_level_db,condition
P001,2.5,55,2.5,60,Inspect
P002,2.5,55,3.5,62,Normal
P003,2.5,55,4.5,64,Normal
P004,2.5,65,2.5,63,Inspect
P005,2.5,65,3.5,65,Normal
P006,2.5,65,4.5,67,Normal
P007,2.5,72,2.5,66,Inspect
P008,2.5,72,3.5,68,Normal
P009,2.5,72,4.5,70,Normal
P010,2.5,80,2.5,69,Inspect
P011,2.5,80,3.5,71,Normal
P012,2.5,80,4.5,73,Normal
P013,3.5,55,2.5,62,Inspect
P014,3.5,55,3.5,64,Normal
P015,3.5,55,4.5,66,Normal
P016,3.5,65,2.5,65,Inspect
P017,3.5,65,3.5,67,Normal
P018,3.5,65,4.5,69,Normal
P019,3.5,72,2.5,68,Inspect
P020,3.5,72,3.5,70,Normal
P021,3.5,72,4.5,72,Normal
P022,3.5,80,2.5,71,Inspect
P023,3.5,80,3.5,73,Normal
P024,3.5,80,4.5,75,Normal
P025,4.5,55,2.5,64,Inspect
P026,4.5,55,3.5,66,Normal
P027,4.5,55,4.5,68,Normal
P028,4.5,65,2.5,67,Inspect
P029,4.5,65,3.5,69,Normal
P030,4.5,65,4.5,71,Normal
P031,4.5,72,2.5,70,Inspect
P032,4.5,72,3.5,72,Normal
P033,4.5,72,4.5,74,Normal
P034,4.5,80,2.5,73,Inspect
P035,4.5,80,3.5,75,Normal
P036,4.5,80,4.5,77,Normal
P037,5.5,55,2.5,66,Inspect
P038,5.5,55,3.5,68,Normal
P039,5.5,55,4.5,70,Normal
P040,5.5,65,2.5,69,Inspect
P041,5.5,65,3.5,71,Normal
P042,5.5,65,4.5,73,Normal
P043,5.5,72,2.5,72,Inspect
P044,5.5,72,3.5,74,Inspect
P045,5.5,72,4.5,76,Inspect
P046,5.5,80,2.5,75,Inspect
P047,5.5,80,3.5,77,Inspect
P048,5.5,80,4.5,79,Inspect
P049,6.5,55,2.5,68,Inspect
P050,6.5,55,3.5,70,Normal
P051,6.5,55,4.5,72,Normal
P052,6.5,65,2.5,71,Inspect
P053,6.5,65,3.5,73,Normal
P054,6.5,65,4.5,75,Normal
P055,6.5,72,2.5,74,Inspect
P056,6.5,72,3.5,76,Inspect
P057,6.5,72,4.5,78,Inspect
P058,6.5,80,2.5,77,Inspect
P059,6.5,80,3.5,79,Inspect
P060,6.5,80,4.5,81,Inspect
P061,7.5,55,2.5,70,Inspect
P062,7.5,55,3.5,72,Normal
P063,7.5,55,4.5,74,Normal
P064,7.5,65,2.5,73,Inspect
P065,7.5,65,3.5,75,Normal
P066,7.5,65,4.5,77,Normal
P067,7.5,72,2.5,76,Inspect
P068,7.5,72,3.5,78,Inspect
P069,7.5,72,4.5,80,Inspect
P070,7.5,80,2.5,79,Inspect
P071,7.5,80,3.5,81,Inspect
P072,7.5,80,4.5,83,Inspect
